run,suite,variant,sharpe_total,sharpe_drift,sharpe_neutral,mean_drift,mean_neutral,net_exposure,corr_equal_weight,equal_weight_sharpe
architecture__d16_h4_ff32_drop50__s0,architecture,d16_h4_ff32_drop50,-0.19395566378226733,0.3595139519651635,-0.29827915225649976,0.003285300701767203,-0.009827364858544877,0.7245893369082498,0.20799810884059022,0.44263575286396684
architecture__d16_h4_ff32_drop50__s1,architecture,d16_h4_ff32_drop50,0.1617885698284159,0.7461235266550323,-0.013430432240046539,0.006146771502766097,-0.0004626302268186843,0.6558460847803038,0.18051165204202618,0.44263575286396684
architecture__d16_h4_ff32_drop50__s2,architecture,d16_h4_ff32_drop50,0.5891497876161003,0.6470790631420117,0.4372712812663251,0.005526948651678499,0.014949408186781282,0.6597827078862498,0.17134087938515943,0.44263575286396684
architecture__d8_h2__s0,architecture,d8_h2,0.36523015844927453,0.4956155914400959,0.20131693361297237,0.005045846295856783,0.005249909186520813,0.8582518525084073,0.36089115523735205,0.44263575286396684
architecture__d8_h2__s1,architecture,d8_h2,0.20868407852290902,0.7279324211718875,0.02763221085770978,0.006130733384062584,0.0009033942151122183,0.672379019834178,0.2202758120600598,0.44263575286396684
architecture__d8_h2__s2,architecture,d8_h2,0.5457303006065364,0.7998936053767909,0.33611232713119815,0.007116743987676276,0.010417533660342362,0.7277614152755837,0.23338253266882444,0.44263575286396684
architecture__d8_h4_drop25__s0,architecture,d8_h4_drop25,0.6271750035771678,0.49002161355101387,0.4821009253165371,0.005090043889416521,0.01211750547509579,0.8738251866547478,0.38349782030064045,0.44263575286396684
architecture__d8_h4_drop25__s1,architecture,d8_h4_drop25,0.3133756557807929,0.6022980260893244,0.1593853937847213,0.005297806122864554,0.005129967658005927,0.6994543399479851,0.2382565681983516,0.44263575286396684
architecture__d8_h4_drop25__s2,architecture,d8_h4_drop25,0.5192854273891212,0.8341558964960577,0.312349348423598,0.007211250846425855,0.010099347784182804,0.7054644477477393,0.2040727603834163,0.44263575286396684
architecture__d8_h4_drop50__s0,architecture,d8_h4_drop50,0.4962217097943186,0.46747316289439245,0.3279614377262351,0.005114237985949603,0.007378183529128494,0.9305785606459278,0.43652129992466204,0.44263575286396684
architecture__d8_h4_drop50__s1,architecture,d8_h4_drop50,0.06540943267277263,0.6663846237666535,-0.127528475480091,0.005974125720691154,-0.003910921727039292,0.7057573378491527,0.23457695885538368,0.44263575286396684
architecture__d8_h4_drop50__s2,architecture,d8_h4_drop50,0.26350579322449924,0.8039447091242233,0.01733896650080353,0.007502909081564252,0.0005061085039514776,0.787600718073627,0.2520593429110253,0.44263575286396684
ensemble__final-cnn_neutral_cw0.25_b10__ens,ensemble,final-cnn_neutral_cw0.25_b10,0.25917657299910585,0.21962981724692893,0.259176572742656,1.1494686351786658e-11,0.011840939066837482,-2.859391782315096e-11,-0.05844763161129204,0.44263575286396684
ensemble__final-cnn_neutral_cw0.25_b1__ens,ensemble,final-cnn_neutral_cw0.25_b1,0.48385669183165086,0.15261840727935494,0.483856691624611,8.180675334154993e-12,0.022453071378706026,-3.1328121486061207e-11,-0.019678512242010435,0.44263575286396684
ensemble__final-cnn_neutral_cw0.25_b20__ens,ensemble,final-cnn_neutral_cw0.25_b20,0.04004338038256699,0.46087675273125606,0.040043379843664594,2.495479991619377e-11,0.001854096570909577,4.697558533066516e-11,-0.06917159339670093,0.44263575286396684
ensemble__final-cnn_neutral_cw0.25_b2__ens,ensemble,final-cnn_neutral_cw0.25_b2,0.5797088805275219,-0.5143576924962279,0.5797088811521598,-2.8212596888054244e-11,0.026276509327708367,6.960145084837602e-11,-0.028359479065472582,0.44263575286396684
ensemble__final-cnn_neutral_cw0.25_b3__ens,ensemble,final-cnn_neutral_cw0.25_b3,0.721257484203648,0.3736221950576873,0.7212574837542693,1.9524542958140454e-11,0.032973579379426445,-2.3146632494117132e-10,-0.039387135033768866,0.44263575286396684
ensemble__final-cnn_neutral_cw0.25_b5__ens,ensemble,final-cnn_neutral_cw0.25_b5,0.5581276632621276,0.7781305548863462,0.5581276623168524,4.3021080621594236e-11,0.025530455901937612,1.3268273540630257e-10,-0.050271527590268,0.44263575286396684
ensemble__final-cnn_neutral_cw0.5_b10__ens,ensemble,final-cnn_neutral_cw0.5_b10,0.2834295050552519,0.40288007332566783,0.28342950461348093,2.0503581680727803e-11,0.01289587751339108,1.3641193965971168e-10,-0.07650506927545561,0.44263575286396684
ensemble__final-cnn_neutral_cw0.5_b1__ens,ensemble,final-cnn_neutral_cw0.5_b1,0.3727021638932025,-0.04436005546686757,0.3727021639595742,-2.228463271022187e-12,0.01712169745507232,3.97512247139288e-11,-0.029203266860476543,0.44263575286396684
ensemble__final-cnn_neutral_cw0.5_b20__ens,ensemble,final-cnn_neutral_cw0.5_b20,0.2669025752813602,1.1487834675062292,0.2669025739802715,5.979411630557908e-11,0.012192101097677715,2.1458480216375515e-10,-0.1031602312243079,0.44263575286396684
ensemble__final-cnn_neutral_cw0.5_b2__ens,ensemble,final-cnn_neutral_cw0.5_b2,0.49157124597878954,0.18899024244950527,0.49157124577585526,9.800824112108663e-12,0.02252192363400756,1.5519587233677835e-10,-0.03908320389148175,0.44263575286396684
ensemble__final-cnn_neutral_cw0.5_b3__ens,ensemble,final-cnn_neutral_cw0.5_b3,0.5403614858127355,-0.03649253872805346,0.5403614858600876,-1.889235104178489e-12,0.025007111210894533,7.076650137240096e-11,-0.046934459004697206,0.44263575286396684
