run,days,gross_sharpe,gross_expected_max_sharpe,gross_dsr,gross_psr,net_sharpe,net_expected_max_sharpe,net_dsr,net_psr
ensemble__full_recipe-pca8_cw0.25_b1__ens,2769,2.625396402129864,1.9985497727695942,0.9824721314825929,1.0,-2.287725089790169,2.6190882348118674,3.8382262943352023e-56,1.0686856856150638e-13
ensemble__full_recipe-pca5_cw0.25_b1__ens,2769,2.5898234274730565,1.9985497727695942,0.9771372885944877,1.0,-2.3238597473258222,2.6190882348118674,1.9194343932634195e-53,2.713848463796749e-13
ensemble__full_paper-pca5_b1__ens,2769,2.525930192627745,1.9985497727695942,0.9590258774398269,1.0,-3.9547628441572082,2.6190882348118674,2.586821034678845e-88,2.7296149081296212e-33
full_recipe__pca5_cw0.25__s2,2769,2.514483401987803,1.9985497727695942,0.9627405521224963,1.0,-2.4238486728315283,2.6190882348118674,2.585555858698284e-53,8.787922036960673e-14
full_recipe__pca8_cw0.25__s2,2769,2.4546021519189183,1.9985497727695942,0.9375731870308214,0.9999999999999999,-2.4018046139339995,2.6190882348118674,2.4359200462565562e-58,7.803356622543652e-15
full_recipe__pca8_cw0.25__s0,2769,2.396553196443101,1.9985497727695942,0.9082423642748196,0.9999999999999994,-2.8576780859663558,2.6190882348118674,8.987703688743398e-69,3.6053978852486606e-20
full_paper__pca5__s1,2769,2.3745275014481444,1.9985497727695942,0.8944651710712774,0.9999999999999986,-4.351970937023979,2.6190882348118674,1.320573410830117e-95,1.5047253695923484e-38
full_recipe__pca8_cw0.25__s1,2769,2.362223392692497,1.9985497727695942,0.8895689542395127,0.9999999999999991,-2.57625425072879,2.6190882348118674,7.151275554492452e-62,1.1046368779729844e-16
full_recipe__pca5_cw0.25__s0,2769,2.3449408527006623,1.9985497727695942,0.8732504786074554,0.9999999999999947,-2.8689661200294627,2.6190882348118674,3.2631666599317664e-67,8.277129819198799e-20
full_paper__pca5__s0,2769,2.333348492585127,1.9985497727695942,0.8642387662379353,0.9999999999999909,-4.30123308239203,2.6190882348118674,4.7443484841786985e-98,3.558897218528921e-39
ensemble__full_recipe-pca8_cw0.5_b1__ens,2769,2.311105447403784,1.9985497727695942,0.8534778873818263,0.9999999999999962,-2.022296120922395,2.6190882348118674,7.237096222086895e-51,3.61068158955641e-11
full_recipe__pca5_cw0.25__s1,2769,2.298905566461279,1.9985497727695942,0.8435384748375254,0.9999999999999943,-2.7286978239777118,2.6190882348118674,2.674534898193389e-61,2.09475857702925e-17
full_recipe__pca5_cw0.5__s2,2769,2.294023171108869,1.9985497727695942,0.8431673098958307,0.9999999999999974,-1.4011706205089247,2.6190882348118674,3.7737030464546243e-38,3.6956084424922267e-06
