run,days,gross_sharpe,gross_expected_max_sharpe,gross_dsr,gross_psr,net_sharpe,net_expected_max_sharpe,net_dsr,net_psr
ensemble__official_paper-pca5_b1__ens,2769,3.5898473769368238,1.8195469264504331,0.9999999998675906,1.0,-4.779559154341149,4.256856757149928,7.246263877595818e-132,1.9950999530215528e-38
official_paper__pca5__s0,2769,3.5440234965629465,1.8195469264504331,0.9999999994365326,1.0,-5.271945087503483,4.256856757149928,3.177287391916918e-144,1.1933535683697574e-45
official_paper__pca5__s1,2769,3.3270583565604688,1.8195469264504331,0.9999999553499539,1.0,-5.081907876709643,4.256856757149928,1.50200921224017e-139,7.705459794482277e-43
ensemble__official_paper-pca5_b2__ens,2769,2.94464022062896,1.8195469264504331,0.999939891230223,1.0,-3.045246724117971,4.256856757149928,1.4199540228014183e-109,1.0052340924571601e-20
ensemble__official_paper-pca5_b3__ens,2769,2.671008354593957,1.8195469264504331,0.9981722151502029,1.0,-1.9959200756432036,4.256856757149928,1.6597304203752526e-86,1.6780200630838274e-10
ensemble__official_paper-ipca5_b1__ens,2769,2.6695264585872818,1.8195469264504331,0.9980388751923626,1.0,-3.8334908881962337,4.256856757149928,2.0378826968628522e-123,2.5148495327957283e-29
official_paper__ipca5__s0,2769,2.644830145986668,1.8195469264504331,0.997300918614836,1.0,-4.341624502454217,4.256856757149928,2.3738367399753032e-141,1.256210039494886e-37
official_recipe__ipca5_cw0.25__s0,2769,2.4402474479577356,1.8195469264504331,0.9826488900421109,1.0,-1.6818466037486104,4.256856757149928,5.387533572217979e-75,1.1183689420818596e-07
ensemble__official_recipe-ipca5_cw0.25_b1__ens,2769,2.393183314837151,1.8195469264504331,0.9751694613443468,0.9999999999999999,-1.3985050477574195,4.256856757149928,1.1029006349885958e-69,6.6892602410370405e-06
official_paper__ipca5__s1,2769,2.358258459845388,1.8195469264504331,0.9652975463239674,0.9999999999999991,-4.411353374485792,4.256856757149928,2.2935672908269776e-136,6.792978177125791e-37
ensemble__official_paper-ipca5_b2__ens,2769,2.3204610614737713,1.8195469264504331,0.9590664545297582,0.9999999999999997,-2.256604574835785,4.256856757149928,3.9474229061204883e-85,6.8208558937387615e-12
official_recipe__ipca5_cw0.25__s1,2769,2.2108793594706335,1.8195469264504331,0.9080305544194784,0.9999999999999697,-1.7760032677766002,4.256856757149928,8.93090833253724e-79,1.6849918510432277e-08
ensemble__official_paper-pca5_b5__ens,2769,2.1547308847668085,1.8195469264504331,0.8716828852432958,0.9999999999998478,-1.2165532184307613,4.256856757149928,4.3582127153516665e-70,4.337598040585917e-05
ensemble__official_recipe-ipca5_cw0.25_b2__ens,2769,2.040385488170793,1.8195469264504331,0.7803949968100697,0.999999999999556,-0.7410516168169893,4.256856757149928,2.60772941220712e-57,0.009153782080605065
ensemble__official_paper-ipca5_b3__ens,2769,2.016495296995493,1.8195469264504331,0.7550374534895937,0.9999999999992202,-1.5596788164365485,4.256856757149928,3.475361052863566e-70,1.076319299002393e-06
ensemble__official_paper-ff5_b1__ens,2769,1.9861060575074108,1.8195469264504331,0.709735039936086,0.9999999999779365,-4.732987759627096,4.256856757149928,5.380226775645259e-158,2.3124355103460614e-45
official_paper__ff5__s0,2769,1.899008376185039,1.8195469264504331,0.6032478713366582,0.9999999998021781,-5.409589160153746,4.256856757149928,7.723709602097938e-194,3.06419608232222e-62
ensemble__official_recipe-ipca5_cw0.25_b3__ens,2769,1.7823443932537328,1.8195469264504331,0.4477347624885868,0.9999999998459305,-0.436077447513228,4.256856757149928,6.075626447457587e-52,0.08002809497271235
ensemble__official_paper-ipca5_b5__ens,2769,1.6684057341546255,1.8195469264504331,0.299719857194488,0.9999999966366254,-1.0398420603160476,4.256856757149928,1.1199894524462762e-61,0.0005870343018769237
official_paper__ff5__s1,2769,1.6581729430692742,1.8195469264504331,0.29631306287660486,0.9999999807568907,-4.7927788923212935,4.256856757149928,1.2792463696753822e-137,3.844206986987407e-40
ensemble__official_paper-pca5_b10__ens,2769,1.6449732636507686,1.8195469264504331,0.27692041949314783,0.9999999878655099,-0.5603118820066791,4.256856757149928,2.1548823082129896e-56,0.033223561283406707
ensemble__official_paper-pca5_b20__ens,2769,1.5416910969259099,1.8195469264504331,0.17004840950085648,0.9999999398870867,0.08962315103353105,4.256856757149928,6.918770409019765e-44,0.6170479926935032
ensemble__official_recipe-ipca5_cw0.25_b5__ens,2769,1.5400911111326328,1.8195469264504331,0.16153795850978614,0.9999999742087261,-0.17908960064902366,4.256856757149928,5.311118599752998e-48,0.2790172493947213
ensemble__official_paper-ff5_b2__ens,2769,1.493874189319676,1.8195469264504331,0.14312944418227175,0.9999994995407264,-3.1215335241048603,4.256856757149928,5.268115062714e-119,5.639946759754546e-23
