run,suite,variant,model,n_factors,neutralize,objective,smoothing_days,net_exposure,sel_sharpe,sel_net_sharpe,sel_mean,sel_net_mean,sel_turnover,sel_days,hold_sharpe,hold_net_sharpe,hold_mean,hold_net_mean,hold_turnover,hold_days,duplicate_of_earlier
architecture__d16_h4_ff32_drop50__s0,architecture,d16_h4_ff32_drop50,cnn_transformer,5,False,sharpe,1,0.7245893369082498,-0.7243224915558497,-3.9876020726378902,-0.026515515918319427,-0.14612882054953033,0.9147490815231285,731,0.4203599791716378,-2.6636485183674234,0.012873618340146841,-0.08167955995761601,0.7298005198735749,752,False
architecture__d16_h4_ff32_drop50__s1,architecture,d16_h4_ff32_drop50,cnn_transformer,5,False,sharpe,1,0.6558460847803038,0.06541734827603236,-3.0666764325367115,0.0024645730092351273,-0.11585571771309881,0.8975697593047848,731,0.27143323650993845,-2.6877441275394744,0.008813801386275818,-0.08768406205095805,0.7386251179915106,752,False
architecture__d16_h4_ff32_drop50__s2,architecture,d16_h4_ff32_drop50,cnn_transformer,5,False,sharpe,1,0.6597827078862498,0.5983936795703809,-2.945811724583845,0.022558665193818047,-0.11146768006567824,1.0172746148916374,731,0.5833181427773353,-2.5924610976454447,0.01845219805153502,-0.08210683567903616,0.7759541509707613,752,False
architecture__d8_h2__s0,architecture,d8_h2,cnn_transformer,5,False,sharpe,1,0.8582518525084073,0.7242545857431878,-2.579878681994052,0.01956176346433931,-0.06996137297373853,0.696102937581657,731,0.044005777261204956,-2.6377534549031436,0.0012885057020386415,-0.07711981456717783,0.6080261698172341,752,False
architecture__d8_h2__s1,architecture,d8_h2,cnn_transformer,5,False,sharpe,1,0.672379019834178,0.2516067849925542,-2.802443035077224,0.00846850577187539,-0.09519713156394861,0.7803766920487037,731,0.16708183291210812,-2.5038019115507266,0.005639805199913668,-0.0848606465121129,0.694673403814304,752,False
architecture__d8_h2__s2,architecture,d8_h2,cnn_transformer,5,False,sharpe,1,0.7277614152755837,0.30176769470430564,-2.783771145237046,0.010188675284211985,-0.0948751567527138,0.7993793912359367,731,0.8102943139188001,-1.9772328790158868,0.024674750158579166,-0.060190895726677074,0.6537647738941681,752,False
architecture__d8_h4_drop25__s0,architecture,d8_h4_drop25,cnn_transformer,5,False,sharpe,1,0.8738251866547478,0.8767318309718467,-2.4353128637353576,0.02291859179620906,-0.06375702784316356,0.6760042270134258,731,0.4070451743420547,-2.2735455773627895,0.011655990830508278,-0.06502085483686539,0.5948801544002211,752,False
architecture__d8_h4_drop25__s1,architecture,d8_h4_drop25,cnn_transformer,5,False,sharpe,1,0.6994543399479851,0.4514147791260432,-2.6197720364975394,0.015524399287475905,-0.09073633697171345,0.8016668645850674,731,0.1702387345485796,-2.580911112620142,0.005473474252507397,-0.08330336789575,0.6855324122688665,752,False
architecture__d8_h4_drop25__s2,architecture,d8_h4_drop25,cnn_transformer,5,False,sharpe,1,0.7054644477477393,0.44327960589115917,-2.637744534695687,0.015524725827156567,-0.09311492731913253,0.8249933419528557,731,0.602569558433183,-2.2452214328024698,0.019046599986091105,-0.07084294301309113,0.691924286504815,752,False
architecture__d8_h4_drop50__s0,architecture,d8_h4_drop50,cnn_transformer,5,False,sharpe,1,0.9305785606459278,1.1864254343189446,-1.9138122635868902,0.026838390847641776,-0.04334721773224369,0.5510527582121154,731,-0.05302252972024447,-2.349604013388511,-0.0014529289930399559,-0.06440487636117634,0.49118722226070294,752,False
