run,suite,variant,model,n_factors,neutralize,objective,smoothing_days,net_exposure,sel_sharpe,sel_net_sharpe,sel_mean,sel_net_mean,sel_turnover,sel_days,hold_sharpe,hold_net_sharpe,hold_mean,hold_net_mean,hold_turnover,hold_days,duplicate_of_earlier
ensemble__full_paper-ff5_b10__ens,ensemble,full_paper-ff5_b10,cnn_transformer,5,False,sharpe,10,0.33249138114973614,1.7660181807982636,0.06792337332802201,0.04609165244240416,0.0017729352262154734,0.29299013561807813,730,0.5597905386976666,-1.0551457818298462,0.015636671199193583,-0.029469792082863475,0.28886984844987496,2769,False
ensemble__full_paper-ff5_b1__ens,ensemble,full_paper-ff5_b1,cnn_transformer,5,False,sharpe,1,0.16647920330368618,2.664438249685162,-2.589857232472645,0.06758897077375478,-0.06574812931648574,0.9786700350932185,730,1.9915671232966141,-3.190663171293021,0.054380984118201074,-0.08727354218109384,1.0399079702222818,2769,False
ensemble__full_paper-ff5_b20__ens,ensemble,full_paper-ff5_b20,cnn_transformer,5,False,sharpe,20,0.43885104736637864,1.4873048268908233,0.3745379990712149,0.04113069443221211,0.010357992982009562,0.19974534599848956,730,0.21621632023809204,-0.913175082824121,0.006191975752722962,-0.026148873911827415,0.19719778495298274,2769,False
ensemble__full_paper-ff5_b3__ens,ensemble,full_paper-ff5_b3,cnn_transformer,5,False,sharpe,3,0.2230668937839685,3.220353197125495,-0.03692831726914271,0.08067614825104254,-0.0009255233898049201,0.5745145253919838,730,1.424714887718211,-1.5617969617820633,0.039194225079442195,-0.04295399529872327,0.5729292710723313,2769,False
ensemble__full_paper-ff5_b5__ens,ensemble,full_paper-ff5_b5,cnn_transformer,5,False,sharpe,5,0.2607084915736546,2.7654928809094614,0.27949078684657047,0.06967214708070077,0.007041494332276686,0.4288113181396082,730,1.1386081147165945,-1.1392495348388914,0.03165629749891383,-0.03166458709152438,0.4269225276463518,2769,False
ensemble__full_paper-pca5_b10__ens,ensemble,full_paper-pca5_b10,cnn_transformer,5,False,sharpe,10,0.033616734697457976,2.5482063372675476,0.7278676082001757,0.038913325438201106,0.011111520330710606,0.208035527011796,730,1.189795548620778,-1.0707564302954007,0.025986040895208146,-0.023362933798806437,0.2726167491877707,2769,False
ensemble__full_paper-pca5_b1__ens,ensemble,full_paper-pca5_b1,cnn_transformer,5,False,sharpe,1,0.058849551735491806,4.447648364621221,-2.1986165599458856,0.08213693043045174,-0.04053768027249881,0.9300838438929937,730,2.525930192627745,-3.9547628441572082,0.059554895674985245,-0.09309417584932664,1.1040765551458305,2769,False
ensemble__full_paper-pca5_b20__ens,ensemble,full_paper-pca5_b20,cnn_transformer,5,False,sharpe,20,-0.002954380591578343,2.21163559826285,0.9689581075906667,0.027646559385988066,0.012108689570408728,0.11717604898936429,730,0.9190992841184835,-0.8828586128177852,0.01926033273045181,-0.018492095276474947,0.17421344618381523,2769,False
ensemble__full_paper-pca5_b3__ens,ensemble,full_paper-pca5_b3,cnn_transformer,5,False,sharpe,3,0.05833180802634249,4.169164250641618,0.24054183953413133,0.07160809388123812,0.004122585414957731,0.5067080997585569,730,2.0113697854259964,-1.929261642605918,0.04519384447624625,-0.043276875981576264,0.59065208456707,2769,False
ensemble__full_paper-pca5_b5__ens,ensemble,full_paper-pca5_b5,cnn_transformer,5,False,sharpe,5,0.052304115327690616,3.192408080530001,0.3251583005184335,0.0523403046631626,0.005329452130152091,0.3515013026210261,730,1.7028806943593853,-1.3392430225195602,0.038126382405281524,-0.029936196056397458,0.42592479598939503,2769,False
