run,suite,variant,cfg_model,cfg_n_factors,cfg_lookback,cfg_objective,cfg_gamma,cfg_turnover_bps,cfg_short_bps,cfg_protocol,cfg_train_window,cfg_test_start,cfg_retrain_every,cfg_epochs,cfg_batch_dates,cfg_learning_rate,cfg_dropout,cfg_features,cfg_attention_heads,cfg_transformer_ff,cfg_seed,cfg_device,cfg_neutralize,cfg_cost_weight,observations,start_date,end_date,sharpe,mean_return,volatility,sortino,calmar,cagr,total_return,max_drawdown,max_drawdown_duration_days,hit_rate,positive_month_fraction,skewness,excess_kurtosis,var_95,cvar_95,hac_t_stat,hac_p_value,turnover,short_fraction,net_exposure,effective_positions,active_days_fraction,break_even_cost_bps,net_sharpe,net_mean_return,net_volatility,runtime_seconds,cfg_kind,cfg_members,cfg_smoothing_days,cfg_dataset,cfg_factor_model,cfg_max_blocks
architecture__d16_h4_ff32_drop50__s0,architecture,d16_h4_ff32_drop50,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.5,16,4,32,0,mps,False,1.0,1483,2020-02-07,2025-12-31,-0.19395566378226733,-0.006542064156777671,0.0337296886783452,-0.27646982064711706,-0.06086805607632063,-0.0070854228515419004,-0.040982133210425764,-0.11640626148233979,1143,0.48954821308159135,0.4788732394366197,0.488572716615436,6.7604983899234465,0.003515887924935341,0.004785698449446656,-0.49796218953195265,0.6185106925289114,0.8207969025140305,0.13770533153779133,0.7245893369082498,33.8539245636247,1.0,-0.31628496612487256,-3.3557948884243065,-0.11344787384345072,0.033806557794931115,171.60910812499787,,,,,,
architecture__d16_h4_ff32_drop50__s1,architecture,d16_h4_ff32_drop50,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.5,16,4,32,1,mps,False,1.0,1483,2020-02-07,2025-12-31,0.16178856982841572,0.005684141275947411,0.03513314495563998,0.23259280769097393,0.06446531005415336,0.005079908959297441,0.03026822982681221,-0.07880065968860028,614,0.5077545515846258,0.5352112676056338,0.1346070193960004,2.819360920485879,0.003493253346928315,0.004989419161464042,0.4357118636144991,0.6630457971146424,0.8166877375249877,0.17207695743801069,0.6558460847803038,32.99506972833336,1.0,0.2761902149131308,-2.8797739361990398,-0.10157042772123999,0.03527027814388129,141.539233083,,,,,,
architecture__d16_h4_ff32_drop50__s2,architecture,d16_h4_ff32_drop50,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.5,16,4,32,2,mps,False,1.0,1483,2020-02-07,2025-12-31,0.5891497876161002,0.020476356838459782,0.03475577394555986,0.868093385841253,0.3017521860956816,0.020070516954185713,0.12405617234991184,-0.0665132445728881,555,0.5198921105866486,0.5774647887323944,0.144092492025753,3.1713814689746602,0.003353503457001587,0.004763475761014779,1.5287741053314758,0.12632045388667804,0.8949211676127697,0.17010864633976616,0.6597827078862498,32.373189174056066,1.0,0.9079613626343603,-2.770438668910658,-0.09657937596672252,0.034860680025339714,169.1430487500038,,,,,,
architecture__d8_h2__s0,architecture,d8_h2,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,2,16,0,mps,False,1.0,1483,2020-02-07,2025-12-31,0.36523015844927414,0.010295755482377593,0.028189773610405568,0.5191455494405172,0.17259387897948567,0.009947349427716023,0.05998008763045837,-0.05763442763169113,394,0.5232636547538773,0.5774647887323944,-0.08944548323058682,2.953894720425197,0.0028046141435171673,0.004071221809630213,0.8879543463435075,0.3745653093840513,0.6513601955915533,0.07087407392550606,0.8582518525084073,36.929304779891396,1.0,0.6272439247229807,-2.6083890355531665,-0.07359127727466169,0.028213305711528976,113.46186337499967,,,,,,
architecture__d8_h2__s1,architecture,d8_h2,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,2,16,1,mps,False,1.0,1483,2020-02-07,2025-12-31,0.20868407852290885,0.007034127599174797,0.03370706404131644,0.30213948308367955,0.09309981171864075,0.006487142745135399,0.03878631359853335,-0.06967944000510284,1173,0.5003371544167229,0.5492957746478874,0.28160783037501225,6.805963412122617,0.0032494994664095645,0.004872994117485056,0.5455448602661512,0.585378835862526,0.7368210079802195,0.16381049001274411,0.672379019834178,35.86260889265808,1.0,0.3788329113354962,-2.6510528844720023,-0.08995570421467168,0.03393206704459528,113.76141212499351,,,,,,
architecture__d8_h2__s2,architecture,d8_h2,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,2,16,2,mps,False,1.0,1483,2020-02-07,2025-12-31,0.5457303006065365,0.017534277648018647,0.0321299323649991,0.7815773947246011,0.2139440873081038,0.017163049280080056,0.10533252040236718,-0.08022212483658553,1017,0.5205664194200944,0.6056338028169014,-0.1944981973129236,6.377828070323114,0.0029243679041655274,0.004541203406382488,1.3806051665334191,0.16740039392201556,0.7251442237240779,0.13611929231423686,0.7277614152755837,35.581736320062014,1.0,0.9595396968050961,-2.3923729716216626,-0.07728745325198771,0.03230577095159149,100.0868336670028,,,,,,
architecture__d8_h4_drop25__s0,architecture,d8_h4_drop25,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,0,mps,False,1.0,1483,2020-02-07,2025-12-31,0.6271750035771678,0.01720754936451231,0.02743659946006615,0.9072634748943079,0.3170085619194019,0.016973056807394693,0.10411806590568795,-0.053541319845203494,381,0.5313553607552259,0.6197183098591549,-0.005842016883006234,3.0012499715052545,0.002745657410513428,0.003917296603658884,1.5537467976680404,0.12024482551884959,0.6347984735502026,0.06308740688336947,0.8738251866547478,36.80483195073666,1.0,1.0756788003563438,-2.347429383481866,-0.0643978895419271,0.02743336604503425,144.72795395799767,,,,,,
architecture__d8_h4_drop25__s1,architecture,d8_h4_drop25,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,1,mps,False,1.0,1483,2020-02-07,2025-12-31,0.3133756557807927,0.010427773780870474,0.03327563449333389,0.45788255495976576,0.14009394961646815,0.009923085975059198,0.05983023419631772,-0.07083165263186164,1148,0.5097774780849629,0.5915492957746479,0.27954285017107716,5.68549298253544,0.002992683435567417,0.004742436233381,0.8196252274811839,0.41242978758642723,0.7427481494146285,0.15027282924642515,0.6994543399479851,35.63198693867805,1.0,0.557120939562168,-2.5990725539961606,-0.08696722520831406,0.03346086859891582,261.07605187500303,,,,,,
architecture__d8_h4_drop25__s2,architecture,d8_h4_drop25,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.25,8,4,16,2,mps,False,1.0,1483,2020-02-07,2025-12-31,0.5192854273891212,0.01731059863060866,0.03333542155735701,0.7613335814142895,0.23734078235096087,0.016895659087079462,0.10362364808097313,-0.07118734049715691,1047,0.5016857720836143,0.5492957746478874,0.09048273925494145,5.609107119370012,0.003072356512037537,0.004553546471630953,1.3503861162193038,0.1768921619439564,0.7571433410757694,0.14726777610110298,0.7054644477477393,34.480865406276735,1.0,0.9072634992888386,-2.445329979739463,-0.08182124411067637,0.0334602056935457,144.35401570899558,,,,,,
architecture__d8_h4_drop50__s0,architecture,d8_h4_drop50,cnn_transformer,5,30,sharpe,1.0,5.0,1.0,rolling,1000,1000,125,30,125,0.001,0.5,8,4,16,0,mps,False,1.0,1483,2020-02-07,2025-12-31,0.4962217097943185,0.012492421515078097,0.0251750805507001,0.7059390500720861,0.2151895327151303,0.012249603485040117,0.07427927278719637,-0.056924718086805104,384,0.5178691840863116,0.6056338028169014,-0.19264000940986423,2.7244775029686767,0.002414796037383013,0.003678064838648356,1.2386119435344523,0.21548924285013438,0.5206517854283688,0.034710718842485645,0.9305785606459278,38.66715536458445,1.0,0.9521354317362688,-2.1450859025787685,-0.0540251403815761,0.02518553700652661,144.95093066700065,,,,,,
